shipment_id,batch_id,origin_warehouse_id,destination_id,departure_time,arrival_time,carrier_name,vehicle_id,temperature_min,temperature_max,temperature_avg,humidity_avg,status,route_id,distance_km,created_at
SHP-000016,BAT-001381,WH-0128,OUT-0450,2023-03-10 15:55:00,2023-03-12 05:55:00,ArcticLine Shipping,VH-8062,5.0,10.2,8.6,47.9,in_transit,RT-0063,4516.9,2023-03-09 19:55:00
SHP-000017,BAT-002640,WH-0041,OUT-0456,2023-09-10 10:19:07,2023-09-14 23:19:07,BioTransport Inc,VH-8647,2.2,7.2,4.7,31.4,delivered,RT-0055,2667.6,2023-09-09 23:19:07
SHP-000018,BAT-000954,WH-0035,WH-0087,2025-09-29 07:27:07,2025-10-01 21:27:07,LifeLine Logistics,VH-8112,0.1,6.4,3.6,43.4,in_transit,RT-0082,4407.3,2025-09-28 17:27:07
SHP-000019,BAT-000199,WH-0117,WH-0142,2025-09-21 21:31:46,2025-09-26 13:31:46,ArcticLine Shipping,VH-5288,5.6,9.3,7.2,56.4,delayed,RT-0184,3523.9,2025-09-20 21:31:46
SHP-000020,BAT-002484,WH-0126,OUT-0091,2024-10-11 01:46:03,2024-10-14 13:46:03,MedFreight Solutions,VH-3492,2.6,7.5,4.6,46.8,delivered,RT-0170,2408.9,2024-10-10 23:46:03
SHP-000021,BAT-000044,WH-0095,OUT-0374,2024-06-26 22:13:00,2024-06-27 04:13:00,LifeLine Logistics,VH-9127,7.2,9.9,8.5,45.9,delayed,RT-0044,1679.7,2024-06-26 19:13:00
SHP-000022,BAT-002664,WH-0091,OUT-0230,2024-12-13 07:42:44,2024-12-17 13:42:44,LifeLine Logistics,VH-8184,0.9,3.4,2.0,45.0,delivered,RT-0066,2204.6,2024-12-12 09:42:44
SHP-000023,BAT-002257,WH-0050,OUT-0307,2024-01-03 00:33:23,2024-01-04 16:33:23,MedFreight Solutions,VH-4033,3.6,10.9,6.9,67.2,in_transit,RT-0048,3379.6,2024-01-02 17:33:23
SHP-000024,BAT-002242,WH-0074,WH-0010,2023-10-17 17:37:11,2023-10-18 13:37:11,LifeLine Logistics,VH-9831,1.6,6.8,4.9,30.5,delivered,RT-0056,1534.8,2023-10-17 08:37:11
SHP-000025,BAT-002476,WH-0035,OUT-0363,2024-09-02 20:17:27,2024-09-07 08:17:27,ColdChain Express,VH-9440,7.5,13.2,10.0,36.1,delivered,RT-0071,3877.4,2024-09-02 13:17:27
SHP-000026,BAT-001088,WH-0137,OUT-0120,2024-02-12 14:23:47,2024-02-15 05:23:47,SafeShip Pharma,VH-1046,0.3,5.6,2.6,68.1,delivered,RT-0099,4553.2,2024-02-12 09:23:47
SHP-000027,BAT-002284,WH-0074,OUT-0423,2025-09-18 02:26:32,2025-09-21 04:26:32,MedFreight Solutions,VH-3800,4.0,8.9,6.1,44.0,delivered,RT-0094,1873.6,2025-09-17 08:26:32
SHP-000028,BAT-002780,WH-0148,OUT-0107,2025-02-03 20:11:31,2025-02-06 07:11:31,ColdChain Express,VH-2555,-0.8,6.2,2.5,67.4,in_transit,RT-0130,4013.0,2025-02-02 22:11:31
SHP-000029,BAT-000449,WH-0101,OUT-0428,2024-11-12 10:59:11,2024-11-13 01:59:11,BioTransport Inc,VH-1989,4.6,9.4,6.6,50.2,rejected,RT-0068,3735.1,2024-11-12 01:59:11
SHP-000030,BAT-001636,WH-0099,OUT-0192,2024-08-23 17:26:51,2024-08-27 11:26:51,VitalMove Corp,VH-9346,3.7,7.6,5.6,30.5,rejected,RT-0008,2495.6,2024-08-22 20:26:51
SHP-000031,BAT-000245,WH-0149,OUT-0268,2023-08-08 22:09:05,2023-08-10 13:09:05,ColdChain Express,VH-7206,1.8,7.5,5.8,48.4,delivered,RT-0075,3547.8,2023-08-08 11:09:05
SHP-000032,BAT-002560,WH-0077,WH-0077,2025-01-16 20:17:39,2025-01-21 07:17:39,MedRoute Global,VH-4785,-0.3,5.5,2.5,57.5,delivered,RT-0112,1635.6,2025-01-16 11:17:39
SHP-000033,BAT-001440,WH-0070,OUT-0484,2025-06-22 00:20:27,2025-06-25 13:20:27,SafeShip Pharma,VH-3118,2.5,6.0,3.6,43.2,delivered,RT-0079,1393.7,2025-06-21 20:20:27
SHP-000034,BAT-002993,WH-0085,WH-0069,2024-06-13 17:40:40,2024-06-17 10:40:40,CryoShip Int'l,VH-2250,6.9,9.3,7.9,59.6,rejected,RT-0144,3008.1,2024-06-13 04:40:40
SHP-000035,BAT-002854,WH-0134,OUT-0473,2025-03-10 20:39:59,2025-03-11 10:39:59,ColdChain Express,VH-5445,7.1,12.7,9.2,53.8,delayed,RT-0113,2139.0,2025-03-10 01:39:59
SHP-000036,BAT-000123,WH-0016,OUT-0160,2023-07-02 12:10:26,2023-07-06 23:10:26,CryoShip Int'l,VH-4225,5.0,8.9,7.1,56.9,delivered,RT-0198,4822.4,2023-07-02 10:10:26
SHP-000037,BAT-002107,WH-0037,OUT-0015,2025-03-26 17:14:34,2025-03-30 09:14:34,SafeShip Pharma,VH-9659,7.6,12.2,9.7,30.6,delayed,RT-0200,4941.1,2025-03-26 07:14:34
SHP-000038,BAT-002467,WH-0116,OUT-0367,2023-07-24 00:33:42,2023-07-28 07:33:42,SafeShip Pharma,VH-3943,1.9,7.2,5.4,42.8,delivered,RT-0130,3959.5,2023-07-23 12:33:42
SHP-000039,BAT-000959,WH-0126,WH-0144,2024-06-08 06:33:20,2024-06-08 19:33:20,PrecisionCold Transport,VH-7120,1.3,7.0,4.2,62.1,rejected,RT-0177,4210.0,2024-06-07 07:33:20
SHP-000040,BAT-001659,WH-0015,OUT-0146,2023-07-30 16:59:40,2023-07-31 00:59:40,MedFreight Solutions,VH-9346,5.0,7.9,6.8,64.3,rejected,RT-0127,1882.5,2023-07-29 20:59:40
SHP-000041,BAT-002075,WH-0079,OUT-0250,2025-09-20 13:58:42,2025-09-24 18:58:42,LifeLine Logistics,VH-7333,3.1,7.3,4.6,66.3,delayed,RT-0088,2314.3,2025-09-20 12:58:42
SHP-000042,BAT-001320,WH-0121,OUT-0223,2024-07-30 07:36:38,2024-07-30 13:36:38,PrecisionCold Transport,VH-9699,-2.6,4.0,0.4,48.9,rejected,RT-0051,3690.8,2024-07-30 01:36:38
SHP-000043,BAT-002722,WH-0028,OUT-0487,2025-06-02 18:52:01,2025-06-06 12:52:01,SafeShip Pharma,VH-8140,5.4,12.5,8.7,43.8,delayed,RT-0065,2097.5,2025-06-02 06:52:01
SHP-000044,BAT-002189,WH-0150,OUT-0050,2023-09-26 00:38:27,2023-09-29 06:38:27,TempGuard Logistics,VH-6431,0.9,7.8,4.7,32.1,delayed,RT-0051,299.7,2023-09-25 11:38:27
SHP-000045,BAT-001633,WH-0007,WH-0145,2025-04-26 05:40:56,2025-04-27 02:40:56,SafeShip Pharma,VH-3963,2.9,8.5,4.9,35.0,in_transit,RT-0024,2444.0,2025-04-25 21:40:56
SHP-000046,BAT-001846,WH-0068,OUT-0106,2025-02-20 15:32:50,2025-02-22 07:32:50,CryoShip Int'l,VH-1407,2.1,6.4,4.9,52.4,rejected,RT-0079,2731.2,2025-02-20 13:32:50
SHP-000047,BAT-000934,WH-0084,OUT-0175,2024-11-18 18:56:03,2024-11-19 00:56:03,CryoShip Int'l,VH-9831,9.7,15.0,11.6,41.1,rejected,RT-0190,175.4,2024-11-18 02:56:03
SHP-000048,BAT-001768,WH-0034,WH-0034,2023-06-22 03:24:12,2023-06-22 13:24:12,MedRoute Global,VH-2868,4.4,10.9,7.9,36.1,in_transit,RT-0167,558.3,2023-06-22 01:24:12
SHP-000049,BAT-001684,WH-0012,OUT-0149,2024-02-03 18:54:45,2024-02-04 09:54:45,PrecisionCold Transport,VH-6357,3.0,9.3,6.8,30.0,rejected,RT-0042,1600.9,2024-02-02 22:54:45
SHP-000050,BAT-002220,WH-0129,OUT-0183,2023-09-17 14:38:38,2023-09-21 09:38:38,TempGuard Logistics,VH-2535,6.1,8.5,7.2,45.8,delivered,RT-0036,2605.8,2023-09-16 15:38:38
SHP-000051,BAT-002311,WH-0033,OUT-0301,2023-07-31 03:08:51,2023-08-02 21:08:51,PrecisionCold Transport,VH-4550,5.8,11.0,9.6,65.5,in_transit,RT-0065,275.2,2023-07-30 12:08:51
SHP-000052,BAT-000057,WH-0030,WH-0012,2023-06-20 10:22:08,2023-06-23 10:22:08,PharmaLogix,VH-4759,2.6,9.9,6.2,56.8,delivered,RT-0150,4175.7,2023-06-20 05:22:08
SHP-000053,BAT-000460,WH-0142,OUT-0372,2024-06-15 13:53:47,2024-06-17 02:53:47,LifeLine Logistics,VH-5284,2.2,7.5,5.4,41.1,delivered,RT-0127,1952.4,2024-06-15 03:53:47
SHP-000054,BAT-001860,WH-0040,OUT-0246,2025-05-26 10:38:25,2025-05-28 04:38:25,CryoShip Int'l,VH-2323,2.8,8.1,5.1,55.3,in_transit,RT-0104,3277.4,2025-05-25 11:38:25
SHP-000055,BAT-000888,WH-0048,OUT-0296,2023-05-04 08:28:45,2023-05-06 16:28:45,VitalMove Corp,VH-1682,2.1,7.2,4.2,56.7,rejected,RT-0021,2588.9,2023-05-04 03:28:45
SHP-000056,BAT-001883,WH-0098,OUT-0407,2025-07-15 18:33:46,2025-07-18 06:33:46,CryoShip Int'l,VH-1044,0.3,5.7,2.8,41.7,delayed,RT-0164,1549.5,2025-07-15 07:33:46
SHP-000057,BAT-001802,WH-0083,OUT-0154,2023-05-14 23:44:26,2023-05-17 05:44:26,CryoShip Int'l,VH-9371,-0.7,5.0,3.3,60.3,delivered,RT-0045,1532.7,2023-05-14 11:44:26
SHP-000058,BAT-000808,WH-0052,WH-0124,2024-02-17 15:48:51,2024-02-21 23:48:51,SafeShip Pharma,VH-5980,4.5,9.8,5.8,34.6,rejected,RT-0197,1574.7,2024-02-17 09:48:51
SHP-000059,BAT-001336,WH-0086,OUT-0157,2025-10-16 06:26:56,2025-10-17 16:26:56,SafeShip Pharma,VH-2469,3.6,7.6,5.2,36.8,delivered,RT-0024,4533.8,2025-10-16 00:26:56
SHP-000060,BAT-001360,WH-0136,OUT-0457,2024-01-24 09:12:52,2024-01-25 17:12:52,LifeLine Logistics,VH-7937,2.8,5.3,4.3,31.2,rejected,RT-0122,3067.3,2024-01-24 08:12:52
SHP-000061,BAT-000396,WH-0063,OUT-0239,2025-09-29 14:19:13,2025-10-01 03:19:13,LifeLine Logistics,VH-5288,-0.3,6.2,3.2,46.6,delivered,RT-0079,3144.7,2025-09-28 21:19:13
SHP-000062,BAT-000600,WH-0081,OUT-0376,2024-07-16 10:34:56,2024-07-17 06:34:56,PharmaLogix,VH-7557,-1.1,4.6,2.6,57.9,in_transit,RT-0039,177.1,2024-07-16 02:34:56
SHP-000063,BAT-002334,WH-0104,OUT-0180,2023-09-19 13:56:34,2023-09-23 16:56:34,LifeLine Logistics,VH-2327,-1.6,3.0,0.9,33.1,in_transit,RT-0122,4621.7,2023-09-18 13:56:34
SHP-000064,BAT-000461,WH-0015,OUT-0178,2025-05-06 06:15:58,2025-05-10 21:15:58,PrecisionCold Transport,VH-5284,4.3,6.9,5.4,54.2,delivered,RT-0014,1919.8,2025-05-05 07:15:58
SHP-000065,BAT-002317,WH-0048,OUT-0492,2023-07-10 19:51:31,2023-07-12 23:51:31,PrecisionCold Transport,VH-2256,-1.9,0.8,-0.4,61.9,delayed,RT-0049,1415.5,2023-07-10 15:51:31
SHP-000066,BAT-002772,WH-0004,WH-0134,2023-01-31 13:10:08,2023-02-03 04:10:08,ColdChain Express,VH-2613,2.6,6.4,5.0,53.4,delivered,RT-0150,1125.2,2023-01-30 16:10:08
SHP-000067,BAT-002542,WH-0024,OUT-0100,2024-10-30 05:32:29,2024-11-03 01:32:29,TempGuard Logistics,VH-7736,7.0,11.5,8.6,61.3,delivered,RT-0024,3437.4,2024-10-30 01:32:29
SHP-000068,BAT-001916,WH-0070,OUT-0029,2025-03-07 21:04:44,2025-03-12 12:04:44,PrecisionCold Transport,VH-7999,1.2,7.5,5.0,39.2,in_transit,RT-0120,1754.3,2025-03-07 18:04:44
SHP-000069,BAT-001560,WH-0090,OUT-0493,2023-10-22 08:22:35,2023-10-24 19:22:35,TempGuard Logistics,VH-4223,9.6,13.7,10.9,66.2,rejected,RT-0020,3685.5,2023-10-21 17:22:35
SHP-000070,BAT-001402,WH-0127,OUT-0253,2025-05-04 13:07:26,2025-05-05 00:07:26,BioTransport Inc,VH-4642,0.6,7.1,4.4,35.0,rejected,RT-0111,960.4,2025-05-04 05:07:26
SHP-000071,BAT-000952,WH-0147,OUT-0073,2023-06-22 18:06:04,2023-06-27 17:06:04,PharmaLogix,VH-8737,2.9,6.0,4.4,44.7,rejected,RT-0119,4839.9,2023-06-22 09:06:04
SHP-000072,BAT-002277,WH-0110,WH-0022,2023-05-31 17:15:18,2023-06-04 11:15:18,CryoShip Int'l,VH-7055,3.9,9.1,5.3,49.0,delayed,RT-0194,189.1,2023-05-31 06:15:18
SHP-000073,BAT-000530,WH-0127,OUT-0325,2024-02-07 10:31:03,2024-02-08 09:31:03,ArcticLine Shipping,VH-1340,2.9,7.0,4.1,33.9,rejected,RT-0187,3859.3,2024-02-06 19:31:03
SHP-000074,BAT-002016,WH-0040,OUT-0403,2025-11-01 23:13:26,2025-11-04 20:13:26,ArcticLine Shipping,VH-6559,4.2,10.6,6.9,68.1,delivered,RT-0088,95.0,2025-11-01 02:13:26
SHP-000075,BAT-000945,WH-0112,OUT-0282,2023-11-14 17:48:21,2023-11-15 07:48:21,MedFreight Solutions,VH-2340,2.6,6.6,4.7,39.1,delivered,RT-0126,608.1,2023-11-14 10:48:21
SHP-000076,BAT-000023,WH-0038,WH-0073,2023-08-17 10:45:08,2023-08-21 17:45:08,TempGuard Logistics,VH-3142,-3.6,-0.0,-2.0,52.8,delivered,RT-0040,1106.1,2023-08-16 15:45:08
SHP-000077,BAT-002810,WH-0021,WH-0036,2025-09-01 07:31:06,2025-09-05 22:31:06,TempGuard Logistics,VH-4975,2.3,9.0,5.1,51.8,delivered,RT-0011,3291.9,2025-08-31 12:31:06
SHP-000078,BAT-000415,WH-0013,OUT-0422,2025-01-19 09:44:51,2025-01-23 17:44:51,PrecisionCold Transport,VH-3109,5.0,8.9,6.4,52.3,delayed,RT-0114,90.9,2025-01-18 16:44:51
SHP-000079,BAT-002582,WH-0026,WH-0104,2025-07-21 06:01:29,2025-07-24 09:01:29,CryoShip Int'l,VH-5437,3.5,7.2,4.6,35.1,in_transit,RT-0060,2026.5,2025-07-20 11:01:29
SHP-000080,BAT-002308,WH-0103,WH-0074,2024-09-06 03:33:53,2024-09-06 10:33:53,MedFreight Solutions,VH-2756,4.2,8.3,5.8,53.3,in_transit,RT-0116,704.9,2024-09-05 03:33:53
SHP-000081,BAT-001760,WH-0097,OUT-0472,2025-02-19 07:51:11,2025-02-19 18:51:11,PharmaLogix,VH-2323,5.5,12.1,8.6,34.5,delivered,RT-0056,442.6,2025-02-18 23:51:11
SHP-000082,BAT-002989,WH-0130,WH-0064,2024-11-18 15:43:25,2024-11-21 21:43:25,SafeShip Pharma,VH-9319,0.0,6.1,3.2,64.3,in_transit,RT-0002,2494.7,2024-11-17 20:43:25
SHP-000083,BAT-002836,WH-0041,WH-0062,2023-05-06 23:24:20,2023-05-11 19:24:20,MedFreight Solutions,VH-2500,1.7,5.2,3.2,64.8,rejected,RT-0014,3960.5,2023-05-06 04:24:20
SHP-000084,BAT-001324,WH-0012,WH-0110,2025-05-30 13:58:13,2025-06-02 07:58:13,SafeShip Pharma,VH-5104,1.0,4.7,3.6,38.8,in_transit,RT-0027,4497.9,2025-05-29 16:58:13
SHP-000085,BAT-000235,WH-0122,OUT-0172,2024-10-29 02:12:14,2024-10-31 20:12:14,BioTransport Inc,VH-4818,6.4,10.8,7.7,37.9,rejected,RT-0076,3427.4,2024-10-28 20:12:14
SHP-000086,BAT-001962,WH-0090,OUT-0232,2024-01-18 07:35:07,2024-01-20 17:35:07,MedRoute Global,VH-1201,3.4,7.1,5.5,54.3,delivered,RT-0163,2771.1,2024-01-17 18:35:07
SHP-000087,BAT-002541,WH-0103,WH-0118,2024-04-26 16:31:42,2024-04-27 19:31:42,MedRoute Global,VH-2954,1.3,6.6,4.6,63.3,delivered,RT-0168,3956.8,2024-04-26 05:31:42
SHP-000088,BAT-002534,WH-0142,OUT-0432,2024-01-31 01:32:47,2024-02-04 02:32:47,BioTransport Inc,VH-5661,3.9,7.9,6.2,33.4,delivered,RT-0031,4856.4,2024-01-30 09:32:47
SHP-000089,BAT-000271,WH-0083,WH-0021,2025-08-01 04:23:32,2025-08-02 02:23:32,ArcticLine Shipping,VH-7706,0.4,7.7,4.1,46.8,delayed,RT-0033,4800.1,2025-07-31 23:23:32
SHP-000090,BAT-001552,WH-0119,OUT-0175,2023-07-03 07:04:18,2023-07-08 05:04:18,BioTransport Inc,VH-2868,5.3,9.1,7.8,33.7,delivered,RT-0200,2459.5,2023-07-02 20:04:18
SHP-000091,BAT-000092,WH-0038,OUT-0304,2024-07-05 17:11:35,2024-07-08 06:11:35,CryoShip Int'l,VH-9632,2.7,8.0,4.5,48.1,delayed,RT-0169,4608.8,2024-07-05 13:11:35
SHP-000092,BAT-001125,WH-0003,OUT-0138,2025-11-08 09:09:09,2025-11-11 06:09:09,MedFreight Solutions,VH-9927,-2.2,2.5,-0.8,39.0,delivered,RT-0044,4931.9,2025-11-08 07:09:09
SHP-000093,BAT-000518,WH-0120,OUT-0471,2025-07-29 09:09:13,2025-07-31 07:09:13,CryoShip Int'l,VH-9574,2.4,8.6,4.9,49.0,delivered,RT-0036,2084.0,2025-07-28 09:09:13
SHP-000094,BAT-000647,WH-0092,OUT-0276,2023-12-22 04:22:01,2023-12-26 03:22:01,MedFreight Solutions,VH-8779,4.2,7.2,5.8,65.2,rejected,RT-0120,1409.4,2023-12-21 04:22:01
SHP-000095,BAT-000528,WH-0120,OUT-0329,2025-12-05 07:05:48,2025-12-07 02:05:48,MedFreight Solutions,VH-7187,6.4,11.5,7.7,46.2,rejected,RT-0196,4660.8,2025-12-04 17:05:48
SHP-000096,BAT-001712,WH-0023,OUT-0322,2025-07-02 23:52:22,2025-07-04 07:52:22,SafeShip Pharma,VH-5850,1.4,7.0,5.2,40.1,delivered,RT-0161,3584.1,2025-07-02 06:52:22
SHP-000097,BAT-000613,WH-0016,OUT-0361,2023-10-17 20:56:24,2023-10-18 07:56:24,TempGuard Logistics,VH-2904,-2.9,3.9,0.7,30.7,rejected,RT-0199,4002.6,2023-10-17 11:56:24
SHP-000098,BAT-002747,WH-0119,WH-0083,2025-04-07 00:21:21,2025-04-10 18:21:21,TempGuard Logistics,VH-1193,4.2,9.5,5.8,60.3,delivered,RT-0125,2118.1,2025-04-06 02:21:21
SHP-000099,BAT-001673,WH-0118,OUT-0109,2023-06-24 07:08:50,2023-06-27 01:08:50,BioTransport Inc,VH-9099,4.9,11.3,7.4,61.7,delivered,RT-0032,3693.3,2023-06-24 01:08:50
SHP-000100,BAT-001862,WH-0058,OUT-0154,2024-12-15 01:17:00,2024-12-16 00:17:00,LifeLine Logistics,VH-3800,2.6,8.1,4.6,42.7,delivered,RT-0166,567.8,2024-12-14 07:17:00
SHP-000101,BAT-001890,WH-0087,OUT-0236,2024-04-01 15:17:02,2024-04-05 12:17:02,PharmaLogix,VH-1989,7.3,13.6,9.6,43.2,rejected,RT-0177,1869.5,2024-04-01 11:17:02
SHP-000102,BAT-001069,WH-0039,OUT-0423,2024-08-03 01:11:10,2024-08-05 15:11:10,MedFreight Solutions,VH-4453,-4.4,-0.2,-1.6,41.0,rejected,RT-0141,887.4,2024-08-02 05:11:10
SHP-000103,BAT-001335,WH-0059,OUT-0134,2024-11-10 23:20:54,2024-11-13 22:20:54,CryoShip Int'l,VH-5980,-8.4,-2.7,-4.4,36.0,delivered,RT-0165,821.6,2024-11-10 05:20:54
SHP-000104,BAT-002039,WH-0056,OUT-0019,2024-10-12 21:29:03,2024-10-15 21:29:03,TempGuard Logistics,VH-9432,2.3,7.6,4.8,66.8,rejected,RT-0151,4934.8,2024-10-12 19:29:03
SHP-000105,BAT-002025,WH-0092,OUT-0410,2025-08-06 08:27:53,2025-08-09 13:27:53,TempGuard Logistics,VH-7208,4.0,10.4,7.6,68.5,delivered,RT-0078,1338.2,2025-08-06 03:27:53
SHP-000106,BAT-002441,WH-0066,WH-0015,2025-03-11 16:19:09,2025-03-12 01:19:09,PrecisionCold Transport,VH-7177,-9.5,-2.6,-6.2,44.6,delivered,RT-0117,2979.7,2025-03-10 17:19:09
SHP-000107,BAT-002320,WH-0082,WH-0056,2023-06-18 15:12:38,2023-06-21 09:12:38,TempGuard Logistics,VH-7055,6.0,12.3,9.5,57.4,delivered,RT-0033,4621.5,2023-06-18 01:12:38
SHP-000108,BAT-000665,WH-0111,OUT-0084,2025-11-07 20:57:15,2025-11-08 01:57:15,ArcticLine Shipping,VH-1224,5.0,9.6,7.3,67.8,in_transit,RT-0098,2535.9,2025-11-06 21:57:15
SHP-000109,BAT-000275,WH-0085,OUT-0346,2024-05-20 06:02:38,2024-05-23 10:02:38,MedFreight Solutions,VH-4785,-1.3,5.5,2.1,51.5,delivered,RT-0098,3601.4,2024-05-19 19:02:38
SHP-000110,BAT-002089,WH-0145,OUT-0450,2024-03-12 11:25:33,2024-03-14 21:25:33,ArcticLine Shipping,VH-9127,4.4,9.0,6.2,30.2,delivered,RT-0002,4367.8,2024-03-12 02:25:33
SHP-000111,BAT-002841,WH-0093,OUT-0018,2024-09-09 02:42:58,2024-09-11 10:42:58,MedFreight Solutions,VH-1407,-2.6,4.2,0.9,59.4,delivered,RT-0077,2451.5,2024-09-08 19:42:58
SHP-000112,BAT-002908,WH-0007,OUT-0427,2023-02-03 16:55:19,2023-02-05 14:55:19,ColdChain Express,VH-9664,5.9,9.6,7.4,59.0,delivered,RT-0190,4951.6,2023-02-03 15:55:19
SHP-000113,BAT-002886,WH-0006,OUT-0016,2024-09-10 19:44:21,2024-09-13 06:44:21,CryoShip Int'l,VH-2720,-1.4,5.4,2.6,64.0,delivered,RT-0188,190.9,2024-09-10 00:44:21
SHP-000114,BAT-001643,WH-0126,OUT-0049,2023-05-14 21:04:32,2023-05-16 17:04:32,MedRoute Global,VH-4993,2.1,6.6,4.0,39.3,rejected,RT-0150,4513.1,2023-05-14 20:04:32
SHP-000115,BAT-000756,WH-0122,OUT-0332,2024-03-29 21:44:50,2024-04-02 07:44:50,PharmaLogix,VH-2873,3.7,9.8,5.9,46.2,delayed,RT-0057,790.6,2024-03-29 04:44:50
SHP-000116,BAT-001299,WH-0120,OUT-0288,2025-09-26 14:47:01,2025-09-30 15:47:01,MedRoute Global,VH-2904,0.7,6.8,3.2,43.9,rejected,RT-0047,2058.7,2025-09-26 06:47:01
SHP-000117,BAT-001381,WH-0036,OUT-0195,2024-11-10 19:00:03,2024-11-14 03:00:03,SafeShip Pharma,VH-6824,-1.3,4.9,2.1,34.0,delivered,RT-0024,3834.3,2024-11-09 23:00:03
SHP-000118,BAT-002859,WH-0086,OUT-0433,2023-07-04 22:14:37,2023-07-07 07:14:37,MedRoute Global,VH-5727,-3.7,2.0,-1.1,64.2,delivered,RT-0056,4604.5,2023-07-04 12:14:37
SHP-000119,BAT-000174,WH-0084,OUT-0067,2025-12-12 08:29:03,2025-12-15 14:29:03,ArcticLine Shipping,VH-2014,-0.7,6.5,2.7,61.4,rejected,RT-0173,4072.5,2025-12-11 23:29:03
SHP-000120,BAT-001378,WH-0031,WH-0068,2025-05-24 09:12:46,2025-05-27 18:12:46,CryoShip Int'l,VH-8882,12.0,16.0,13.2,34.5,in_transit,RT-0021,83.7,2025-05-23 13:12:46
SHP-000121,BAT-002530,WH-0079,OUT-0311,2025-04-09 21:45:15,2025-04-12 12:45:15,ColdChain Express,VH-8657,3.0,6.8,5.7,49.7,delayed,RT-0033,4356.6,2025-04-08 22:45:15
SHP-000122,BAT-002809,WH-0131,WH-0073,2024-08-17 00:49:34,2024-08-19 10:49:34,LifeLine Logistics,VH-9959,-0.6,5.4,3.3,38.0,delivered,RT-0184,71.1,2024-08-16 05:49:34
